Date,GOOGL_volatility,Days_from_cut,Cut_date
2021-08-11,0.005645834651087833,9,2021-08-02
2021-08-12,0.005922269557776985,10,2021-08-02
2021-08-13,0.005086196485910384,11,2021-08-02
2021-08-16,0.005100991201265142,14,2021-08-02
2021-08-17,0.006681508301475202,15,2021-08-02
2021-08-18,0.007242059559531395,16,2021-08-02
2021-08-19,0.006704790337524811,17,2021-08-02
2021-08-20,0.007762104174038469,18,2021-08-02
2021-08-23,0.00937894662026463,21,2021-08-02
2021-08-24,0.009512083134888471,22,2021-08-02
2021-08-25,0.009194862012249746,23,2021-08-02
2021-08-26,0.009533203785175049,24,2021-08-02
2021-08-27,0.01066120899677444,25,2021-08-02
2021-08-30,0.010661783888557262,28,2021-08-02
2021-08-31,0.009138882880923285,29,2021-08-02
2021-09-01,0.007649469314269374,30,2021-08-02
2021-08-02,0.016153010714830215,-30,2021-09-01
2021-08-03,0.016066032101146807,-29,2021-09-01
2021-08-04,0.016377814502578678,-28,2021-09-01
2021-08-05,0.01639406739033007,-27,2021-09-01
2021-08-06,0.012806838236853649,-26,2021-09-01
2021-08-09,0.012858045254137355,-23,2021-09-01
2021-08-10,0.011280174625636947,-22,2021-09-01
2021-08-11,0.005645834651087833,-21,2021-09-01
2021-08-12,0.005922269557776985,-20,2021-09-01
2021-08-13,0.005086196485910384,-19,2021-09-01
2021-08-16,0.005100991201265142,-16,2021-09-01
2021-08-17,0.006681508301475202,-15,2021-09-01
2021-08-18,0.007242059559531395,-14,2021-09-01
2021-08-19,0.006704790337524811,-13,2021-09-01
2021-08-20,0.007762104174038469,-12,2021-09-01
2021-08-23,0.00937894662026463,-9,2021-09-01
2021-08-24,0.009512083134888471,-8,2021-09-01
2021-08-25,0.009194862012249746,-7,2021-09-01
2021-08-26,0.009533203785175049,-6,2021-09-01
2021-08-27,0.01066120899677444,-5,2021-09-01
2021-08-30,0.010661783888557262,-2,2021-09-01
2021-08-31,0.009138882880923285,-1,2021-09-01
2021-09-01,0.007649469314269374,0,2021-09-01
2021-09-02,0.009932054711082987,1,2021-09-01
2021-09-03,0.00959985744666924,2,2021-09-01
2021-09-07,0.008148181508943668,6,2021-09-01
2021-09-08,0.008159265046587068,7,2021-09-01
2021-09-09,0.008067906652043452,8,2021-09-01
2021-09-10,0.010111447534311405,9,2021-09-01
2021-09-13,0.008736969362379826,12,2021-09-01
2021-09-14,0.008603131117042445,13,2021-09-01
2021-09-15,0.009772914744616733,14,2021-09-01
2021-09-16,0.009819307143217972,15,2021-09-01
2021-09-17,0.010836611161366963,16,2021-09-01
2021-09-20,0.011412731565786163,19,2021-09-01
2021-09-21,0.01131605184859276,20,2021-09-01
2021-09-22,0.011994398572648928,21,2021-09-01
2021-09-23,0.012328140801290657,22,2021-09-01
2021-09-24,0.010992914175980518,23,2021-09-01
2021-09-27,0.010792613082038304,26,2021-09-01
2021-09-28,0.015680208570794794,27,2021-09-01
2021-09-29,0.014420298473768061,28,2021-09-01
2021-09-30,0.014428663830129598,29,2021-09-01
2021-10-01,0.016195659213591663,30,2021-09-01
