,DaysFromEvent,GOOGL_CumReturn,SPY_CumReturn,QQQ_CumReturn,EventDate
0,-10,0.018033964252858636,0.01394255674107403,0.02515153529815195,2020-09-01
1,-9,0.02438957377291895,0.012109391157393734,0.027489611742313125,2020-09-01
2,-8,0.016270982453852056,0.01213952700506793,0.02628306522307744,2020-09-01
3,-7,0.02411285074177627,0.015354903772101913,0.03819873424607101,2020-09-01
4,-6,0.05081926709765239,0.017548320763598912,0.04819194008911709,2020-09-01
5,-5,0.04327465056330082,0.013311378153677111,0.041140380223919415,2020-09-01
6,-4,0.0646452579739829,0.016466483225362927,0.05558255599905815,2020-09-01
7,-3,0.06418595372971114,0.020072345731050323,0.06289803680506112,2020-09-01
8,-2,0.07065664851188003,0.03040884300011215,0.06953493148306622,2020-09-01
9,-1,0.084637848971433,0.034014508539474964,0.0779441376427703,2020-09-01
10,0,0.11049336015061839,0.04438124013937328,0.10094638233362785,2020-09-01
11,1,0.0999499949352114,0.046664769224405545,0.09751481755502112,2020-09-01
12,2,0.10731887316391009,0.05342553983545417,0.1030957914505497,2020-09-01
13,3,0.10063221207455864,0.04960951426134663,0.11195758587829796,2020-09-01
14,4,0.11788940264839143,0.059495451062731686,0.13096250082808636,2020-09-01
15,5,0.15997525355823372,0.07481972657134817,0.14167186035109935,2020-09-01
16,6,0.10061873362043783,0.037830534113582726,0.08378903247910441,2020-09-01
17,7,0.06799548326634341,0.02935714130955036,0.06934626415582712,2020-09-01
18,8,0.029083911982376476,0.0012322213271196425,0.017949231186567216,2020-09-01
19,9,0.045044475269783835,0.02100370099724036,0.047852291496235155,2020-09-01
20,10,0.03073865142675114,0.003275156046570693,0.02696165135107509,2020-09-01
21,11,0.02378853839954531,0.0037861851759204423,0.019834600853056106,2020-09-01
22,12,0.019107782324624623,0.01700715578657519,0.03759563875089422,2020-09-01
23,13,0.03686491986592433,0.02214551478133786,0.052301972486093584,2020-09-01
24,14,0.021309643325889027,0.01808909180797369,0.03552160175716579,2020-09-01
25,15,0.004390243548408002,0.009134608755941187,0.019344682052297335,2020-09-01
26,16,-0.0198913989111279,-0.002482957488757931,0.00633469512746454,2020-09-01
27,17,-0.03404170212968938,-0.013584865895477582,0.008748143694819577,2020-09-01
0,-10,-0.010738455764559673,0.00021116126334175256,-0.0015902860748947534,2021-02-01
1,-9,-0.005147096033589649,0.0029050982912761647,0.005152490964283718,2021-02-01
2,-8,-0.014445169005934066,-0.0006074749027114024,-0.0002223946082526851,2021-02-01
3,-7,-0.01632413437407987,-0.007895800328656333,-0.008142097084375632,2021-02-01
4,-6,0.016045322413693386,-0.00010566646958287684,0.006329316627962989,2021-02-01
5,-5,0.07047815726795026,0.013731576608962959,0.029737122389370096,2021-02-01
6,-4,0.07280138633347666,0.014655793406687101,0.03797470248859458,2021-02-01
7,-3,0.07758969769703916,0.011064421009549852,0.03498519614176776,2021-02-01
8,-2,0.07856903563312967,0.015051935370232528,0.04354035454429783,2021-02-01
9,-1,0.0863526090288047,0.013467625029785601,0.045067184822490836,2021-02-01
10,0,0.0356718489856529,-0.011302020349765574,0.01593428932750296,2021-02-01
11,1,0.05517907200716521,-0.0027993459837815093,0.021944930146242658,2021-02-01
12,2,0.04046601627440238,-0.022762754998685075,0.00044508853630120804,2021-02-01
13,3,0.07788022150779894,-0.006495869823029854,0.02544387878545984,2021-02-01
14,4,0.09271258079100941,0.007552448680945956,0.04217286217071714,2021-02-01
15,5,0.1722894473693477,0.008344732608037253,0.03803825805856209,2021-02-01
16,6,0.16930012866429034,0.019805123905308974,0.05031485948182768,2021-02-01
17,7,0.18934242592451267,0.023818990504953508,0.05387696459795133,2021-02-01
18,8,0.18688844366377055,0.031213068238393316,0.060937419713700924,2021-02-01
19,9,0.18168995533152676,0.030526279105060894,0.060715124878713445,2021-02-01
20,10,0.18800439072026331,0.03007717514985586,0.058297917981387615,2021-02-01
21,11,0.18929680214917655,0.03174122891048348,0.06411799186349043,2021-02-01
22,12,0.1928726747934666,0.0368375115795343,0.07006547620532344,2021-02-01
23,13,0.2017949197314346,0.035939647020772014,0.06717155264661057,2021-02-01
24,14,0.20630433173274243,0.03617741803681129,0.06205078958067789,2021-02-01
25,15,0.19901047100604652,0.031767666987357,0.05740744158898892,2021-02-01
26,16,0.1893310636816128,0.029945242279223017,0.05279572172238578,2021-02-01
0,-10,-0.004379930026276679,-0.000666001192659027,-0.00020952681172037302,2021-03-01
1,-9,0.0009402291027857945,-0.0011015115338653958,-0.0024878957827931814,2021-03-01
2,-8,0.0020291363508198046,0.0005121741455356155,0.002997888556563355,2021-03-01
3,-7,0.005041949107890575,0.0054542009933498115,0.00860376523818518,2021-03-01
4,-6,0.01255928992083688,0.004583513269913464,0.0058760609410799525,2021-03-01
5,-5,0.01635864614962257,0.00481408736111022,0.001049420867139883,2021-03-01
6,-4,0.010213282812710611,0.0005378119867227582,-0.0033272255828853403,2021-03-01
7,-3,0.0020580030337999933,-0.001229451020569372,-0.007674060543092276,2021-03-01
8,-2,-0.014516480482698046,-0.008911647004884338,-0.033394981362646736,2021-03-01
9,-1,-0.011705366309001874,-0.0077080003049905255,-0.03627305970460881,2021-03-01
10,0,-0.000340656314966159,0.0032263724818726303,-0.028328908944613373,2021-03-01
11,1,-0.03289491076697082,-0.02094719836663672,-0.06220397754865703,2021-03-01
12,2,-0.030035710001473426,-0.025992026298432003,-0.05827676046721875,2021-03-01
13,3,-0.007128745185173591,-0.0023816555586004817,-0.029947757480050963,2021-03-01
14,4,-0.009613783664388253,-0.010166319667920254,-0.04550615771839239,2021-03-01
15,5,-0.03507287254203306,-0.02327741176337428,-0.0732055458022981,2021-03-01
16,6,-0.024269369157672416,-0.035363989088268655,-0.08837432773679843,2021-03-01
17,7,0.0060205443888210475,-0.01761810804052666,-0.07464467901583371,2021-03-01
18,8,-0.03694854418027449,-0.022508942445710445,-0.10084512282145752,2021-03-01
19,9,-0.021184831530135395,-0.008552883707751424,-0.06538158142712247,2021-03-01
20,10,-0.023185248476969678,-0.0023816555586007038,-0.06804956870203627,2021-03-01
21,11,0.00768516522751761,0.0077333884269448205,-0.046585390075350896,2021-03-01
22,12,-0.016560123814505556,0.009090445975241446,-0.054319731895962065,2021-03-01
23,13,-0.014430248631244424,0.015108346515733784,-0.04421711642204973,2021-03-01
24,14,-0.0003022901368218145,0.013827869532022419,-0.03897095251189575,2021-03-01
25,15,-0.0011033405895243265,0.017284982584580444,-0.03501392394063918,2021-03-01
26,16,-0.03030920709481255,0.0024838739643724406,-0.0645719690742943,2021-03-01
27,17,-0.027613117816053134,0.0006289595065278597,-0.06127427285356368,2021-03-01
0,-10,-0.011472484863627841,0.0003643988037829171,-0.001305347864750117,2021-04-30
1,-9,-0.007152210916603008,0.003329272822030216,0.010352630733678758,2021-04-30
2,-8,-0.012665939669216919,-9.731999167583716e-05,-0.0017798085873952374,2021-04-30
3,-7,0.006420954508306931,0.010644019769186164,0.01334884322665264,2021-04-30
4,-6,0.005319979943685826,0.014022188800626445,0.014535320324652101,2021-04-30
5,-5,0.008407116408624793,0.009040365828683061,0.005250667683806665,2021-04-30
6,-4,0.0036729122602505715,0.0016525501499127238,-0.0020766602128852174,2021-04-30
7,-3,0.0033821538418274955,0.011130304776135969,0.0064666068874041915,2021-04-30
8,-2,-0.007993253809790213,0.0018954564398157014,-0.005665646552877601,2021-04-30
9,-1,0.01288605345912286,0.012758446190272776,0.006852309531669931,2021-04-30
10,0,0.017290019320123085,0.014872636397787353,0.013408139199434066,2021-04-30
11,1,0.008944421200446362,0.014654138843660736,0.00901772782293464,2021-04-30
12,2,0.038917956843771195,0.014362493820062605,0.005606443520493221,2021-04-30
13,3,0.05376820138573013,0.020826635694343176,0.009225449608460723,2021-04-30
14,4,0.036478114463092126,0.014119351316587592,0.0026104169083118745,2021-04-30
15,5,0.03188925572267154,0.01630668899357368,-0.0027292876750624195,2021-04-30
16,6,0.015924786523087375,0.010036635937643368,-0.020675613480967137,2021-04-30
17,7,0.01942152662839458,0.010352689697017858,-0.023968491718638796,2021-04-30
18,8,0.02936578903053233,0.01842087920108826,-0.016611701716348626,2021-04-30
19,9,0.03578674353883948,0.02583286740206292,-0.008632025178668346,2021-04-30
20,10,0.009283447814813384,0.015674738950539835,-0.033668680870933,2021-04-30
21,11,-0.00026878760094106724,0.0066099643860801915,-0.03500330496048887,2021-04-30
22,12,-0.031012924316482393,-0.014775552619682886,-0.059980478799180004,2021-04-30
23,13,-0.018333869759292076,-0.00294054402032784,-0.052712818636854064,2021-04-30
24,14,0.00339540393483162,0.012369717388571067,-0.03179946362238506,2021-04-30
25,15,0.008037263047268706,0.009793808385597957,-0.03767320372237415,2021-04-30
26,16,-0.0036113263687866937,0.0010935113627785764,-0.044169551536564766,2021-04-30
27,17,0.00036545919785990755,-0.0015309001603178718,-0.04307211133813327,2021-04-30
28,18,0.01597765169007337,0.00921043960054413,-0.024561730267638637,2021-04-30
0,-10,0.002882423929570832,-0.003408888897426965,0.0,2021-08-02
1,-9,0.009934951127966052,-0.0019216330156768269,0.0017935685572605387,2021-08-02
2,-8,0.0002322936535115172,-0.005330743571787533,-0.0052424598838960446,2021-08-02
3,-7,-4.340016737458541e-05,-0.013132685922501497,-0.013299313874324814,2021-08-02
4,-6,-0.018881551090549897,-0.027706227175620768,-0.02138405880134775,2021-08-02
5,-5,-0.006032623265088799,-0.01377313174608985,-0.01001586847497804,2021-08-02
6,-4,0.0045166397027511795,-0.005788320981280126,-0.0023728020020684637,2021-08-02
7,-3,0.011387950046286344,-0.0037062809647946393,0.004221807033921499,2021-08-02
8,-2,0.04756422605200816,0.006543807661735679,0.015948521102515878,2021-08-02
9,-1,0.05559736733859344,0.009014489237066714,0.016748377900258182,2021-08-02
10,0,0.038782885222575336,0.004415884297713335,0.005546151599070459,2021-08-02
11,1,0.0718129513232062,0.004004116349529463,0.00940900314252291,2021-08-02
12,2,0.06932028265719015,0.008168122496272634,0.011202658049432213,2021-08-02
13,3,0.0610431816553898,0.0032718299446399257,0.005932652627537838,2021-08-02
14,4,0.062051419526992335,0.0011668113112721645,0.006015375591182037,2021-08-02
15,5,0.06815875394371806,0.009311881304434833,0.012113042397763785,2021-08-02
16,6,0.06418552302188463,0.004347170105750697,0.013575546401149552,2021-08-02
17,7,0.07305342240240464,0.01070773992225127,0.020004623160201795,2021-08-02
18,8,0.06901321740612665,0.01237771644564134,0.01553456088569849,2021-08-02
19,9,0.07826313497300919,0.011554106663045571,0.01741102510590098,2021-08-02
20,10,0.07742837687907445,0.012812610783163203,0.012195938060705513,2021-08-02
21,11,0.07327018145561603,0.015329249592259009,0.01045763327873983,2021-08-02
22,12,0.08047618083362762,0.01837195834412708,0.014099775119608804,2021-08-02
23,13,0.08467777642446062,0.020225246598980284,0.01765902129753605,2021-08-02
24,14,0.08926126930982536,0.022627509527260115,0.018100872450947048,2021-08-02
25,15,0.07628256410364886,0.015924107613222382,0.009133288713591092,2021-08-02
26,16,0.06673331836289487,0.004804673629015488,-0.0005793197944570228,2021-08-02
27,17,0.06855261952953118,0.006360569816500794,0.0042491798726218555,2021-08-02
28,18,0.08233078241495306,0.014368137539509052,0.014651722075365248,2021-08-02
0,-10,0.0067140590529017885,0.0029967705087683427,0.003604447847111558,2021-09-01
1,-9,0.010628819439829407,0.004822078166946575,0.007126857951905707,2021-09-01
2,-8,0.014899405695331547,0.007188072182429339,0.007564136209656347,2021-09-01
3,-7,0.0028067328246716983,0.0005858769667101971,-0.001310638389510066,2021-09-01
4,-6,-0.0060906034712113755,-0.010365677899528802,-0.010922727197758886,2021-09-01
5,-5,-0.004395502649376493,-0.00883327233935205,-0.006144199619703694,2021-09-01
6,-4,0.008442050395035317,-0.0009466013641743487,0.00415068248137862,2021-09-01
7,-3,0.02760855054405642,0.007841698677894193,0.01916922942034116,2021-09-01
8,-2,0.036560854558794986,0.009441562683995874,0.022282219917379553,2021-09-01
9,-1,0.04255954479519897,0.011559772440175475,0.02345638510430459,2021-09-01
10,0,0.03787444787291805,0.005588280947034896,0.016957543161038924,2021-09-01
11,1,0.05668489687582845,0.014579174639000492,0.026842407462494666,2021-09-01
12,2,0.06098882420670182,0.01904081949131342,0.038365890210769305,2021-09-01
13,3,0.061773803781913994,0.01753104562119323,0.03751936325722616,2021-09-01
14,4,0.06557491165178186,0.018071950290620586,0.03923984853439966,2021-09-01
15,5,0.05142376529324677,0.02120429262760659,0.03874830572834487,2021-09-01
16,6,0.054744130900665766,0.020956217285473144,0.041943163055738086,2021-09-01
17,7,0.058713859006448876,0.017305820281239503,0.043417535105957805,2021-09-01
18,8,0.054388192393323154,0.016066389589771468,0.03978574134474022,2021-09-01
19,9,0.05328759898976476,0.011717539334204385,0.03620889577967912,2021-09-01
20,10,0.033732044535566,0.0037405599109223697,0.028344296338783437,2021-09-01
21,11,0.04441977405113606,0.006309365888424567,0.027634328043807388,2021-09-01
22,12,0.04597531543923772,0.0008787790647108995,0.024712588033547478,2021-09-01
23,13,0.05980735616761401,0.009238823492683235,0.032331159703471,2021-09-01
24,14,0.053793910252582844,0.007638813945166412,0.03304112799844727,2021-09-01
25,15,0.03317448263324163,-0.00217671740507297,0.02080759149921474,2021-09-01
26,16,0.01790798719252118,-0.018814502590747018,-0.0002855084344630665,2021-09-01
27,17,0.02020852139314311,-0.01974131032245996,0.0009443740524530675,2021-09-01
