Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2021-06-09,398.595441218972,398.6708097330401,396.9282793397056,397.1543273925781,48436300,0.0,0.0,0.0
2021-06-10,398.3881641760815,399.9611583057051,397.06007456529625,399.0003967285156,51020100,0.0,0.0,0.0
2021-06-11,399.5561942652986,399.77281406304684,398.25636050014776,399.6597900390625,45570800,0.0,0.0,0.0
2021-06-14,399.7727985705621,400.65819171701486,398.52007736039525,400.5545959472656,42358500,0.0,0.0,0.0
2021-06-15,400.70530892833705,400.74296443887135,398.9345226146317,399.8199157714844,51508500,0.0,0.0,0.0
2021-06-16,399.96123562136387,400.18728368573505,395.5248698900751,397.5876159667969,80386100,0.0,0.0,0.0
2021-06-17,397.1731589457985,398.4447079080023,394.9596760849045,397.4557189941406,90949700,0.0,0.0,0.0
2021-06-18,394.14453829798737,394.8438192968931,391.88603485732,392.09393310546875,118676300,1.376,0.0,0.0
2021-06-21,393.87044855585435,397.896101162333,393.0483147336762,397.70709228515625,72822000,0.0,0.0,0.0
2021-06-22,397.69766263420007,400.67436500268167,396.97000441079615,399.83331298828125,57700300,0.0,0.0,0.0
2021-06-23,399.9089486389827,400.72162340871785,399.26636456448875,399.3514099121094,49445400,0.0,0.0,0.0
2021-06-24,401.5153670427984,402.13903281565524,401.2602022061094,401.71380615234375,45110300,0.0,0.0,0.0
2021-06-25,402.46984508019256,403.59438160308866,402.13909395486314,403.1407775878906,58129500,0.0,0.0,0.0
2021-06-28,403.66997622242707,404.1235513759188,402.46039441527404,403.9534606933594,53159600,0.0,0.0,0.0
2021-06-29,404.3408975626416,404.98348157153146,403.6321575661207,404.1708068847656,35970500,0.0,0.0,0.0
2021-06-30,403.70777235843684,405.1914084440255,403.6794239101195,404.5110168457031,64827900,0.0,0.0,0.0
2021-07-01,405.2764334356827,406.9112707764298,405.21027744669584,406.7506103515625,53441000,0.0,0.0,0.0
2021-07-02,407.9224080050898,410.2187186889575,406.83565026501907,409.859619140625,57697700,0.0,0.0,0.0
2021-07-06,409.91634263286466,410.1336999627239,406.35375304229035,409.11309814453125,68710400,0.0,0.0,0.0
2021-07-07,409.8029211282968,410.8424122288662,407.771205563691,410.55889892578125,63549500,0.0,0.0,0.0
2021-07-08,405.1913986883966,407.97912100687654,404.0007062103237,407.21368408203125,97595200,0.0,0.0,0.0
2021-07-09,408.7351068320274,411.86301058331355,407.01522407198973,411.56060791015625,76238600,0.0,0.0,0.0
2021-07-12,411.47550688706417,413.28989384178925,411.0408211274111,413.03472900390625,52889600,0.0,0.0,0.0
2021-07-13,412.24097506878303,413.7529595062366,411.3621443883016,411.6267395019531,52911300,0.0,0.0,0.0
2021-07-14,413.33721596852,413.82862755584387,410.9842080910006,412.24102783203125,64130400,0.0,0.0,0.0
2021-07-15,410.88964366934266,411.57003521203325,408.9146250281708,410.83294677734375,55126400,0.0,0.0,0.0
2021-07-16,412.0235732788264,412.07081106836796,407.21359545230547,407.6104736328125,75874700,0.0,0.0,0.0
2021-07-19,402.74398017361256,407.67681307934487,398.756134193586,401.5910949707031,147987000,0.0,0.0,0.0
2021-07-20,402.26191442171665,408.6311441190771,401.4586699931471,407.345947265625,99608200,0.0,0.0,0.0
2021-07-21,408.55553892216625,410.7857224893791,407.29871932325375,410.6439514160156,64724400,0.0,0.0,0.0
